45231,91902
30054,89104
24147,56370
3066,64599
23510,72646
37618,97780
49690,51283
17458,84842
16873,71855
28043,77942
25413,98416
28789,75142
48957,95971
18563,82984
6968,71395
4851,97766
18004,77416
49729,76826
48387,70013
3514,65235
23364,84411
1878,78477
3579,83993
27081,94821
18254,91761
28535,94860
9908,52411
36320,94467
4995,90231
35431,90283
15552,69325
26455,70717
15549,65759
44418,57666
10599,97270
1498,68050
16545,76541
9367,77522
23102,94280
20045,89681
1522,79576
26142,76152
4769,59646
386,64952
17932,70588
37283,60166
28974,53728
17227,56993
49940,70055
27267,62887
45983,50392
32612,71082
7564,70408
17248,54575
43151,90558
6611,89961
47301,75697
20205,85825
39100,68017
3155,53784
29568,77651
1852,97716
38980,94715
28225,62180
17111,82414
6947,84692
41856,50876
15454,64137
5682,55955
38581,65191
49084,73248
17966,73393
40455,52463
18282,93403
42247,70247
39242,59122
42634,53047
8735,98452
13387,92774
35808,90757
8516,65471
26409,50324
31623,88869
28659,95194
2170,75323
34085,74459
38405,88654
31201,52599
20972,96975
41608,90115
17660,60677
28414,74381
39803,92560
21678,62991
34349,99416
31936,52521
44245,96299
46633,97102
12284,82670
6912,75793
26590,81075
21614,72421
49081,86575
43685,80861
46639,88143
21321,64790
10755,94427
22556,56812
32147,97335
31374,53732
28660,74704
1668,85523
22059,54955
29913,77051
4790,62727
31256,64427
7808,81754
44449,71027
41843,82729
36840,64967
9317,87506
28931,51042
10429,57964
12831,68818
18233,65935
32453,80023
16535,58708
2017,74204
19156,84865
32184,90287
35731,50036
44738,53744
49444,95109
36597,53748
20962,71872
36460,98852
45925,94534
42305,83840
18250,70222
31047,59178
19596,91304
25894,90714
27432,65132
6344,50793
36196,91917
14526,93892
5123,64270
27651,54953
26819,52954
21327,92913
5842,63282
41133,92407
37122,64019
12228,96168
40422,59806
6884,72406
14860,72297
5995,50596
10233,96645
5268,73742
39559,51532
21748,89563
22461,76609
35101,62198
36090,73647
24193,82094
48020,83368
17759,91876
9424,58444
48859,59585
26274,89323
44985,97665
651,94859
20924,57421
5574,96998
40118,68218
9979,57153
13557,88196
11665,84810
39595,87943
27283,54133
3524,66702
47461,72856
21932,79875
31749,52163
16505,61064
35018,99972
17950,83699
36383,84983
32015,88694
11029,53148
27928,59690
42795,83096
12173,85923
17067,95181
21473,81618
31647,65410
39290,72178
12594,95891
46326,59226
49106,71355
14337,53919
10249,77742
33617,72201
1929,84761
25290,79947
44673,71076
37101,91968
8146,90389
4561,80540
5115,91654
32747,97770
15846,70046
6435,69254
3464,71968
39406,68374
15096,89807
1392,54740
30258,88582
14803,54294
7199,98761
27075,60397
22447,83440
20046,91561
26570,67800
16124,71002
28874,71555
27088,73196
41683,81748
33036,72508
42273,56740
21582,87957
37733,79770
39857,50200
25591,82847
9353,87402
8875,79758
43487,53432
21712,72238
22874,95032
4164,51257
7656,55196
16278,93985
20850,99240
21713,99272
7756,63029
24732,69803
5512,71120
180,72594
35333,54261
12775,69753
11973,97617
34651,60069
6554,62120
36284,89762
3571,51666
35817,87458
29586,89642
19129,80941
37484,77622
18868,77109
4597,74730
27010,72386
2411,50373
7261,68634
10674,95901
45912,84348
18149,62078
44494,70444
